our_reference,qty,pack,code,description,retail,price,cost,total_goods
SORD00595099,4,1,104-411,882 - Standard MK1 Arrow Gun,19.08,19.08,2.43,76.32
SORD00595099,1,1,TISSUE1,White Tissue Paper 500 x 750   480 sheets ***104102***,9.99,9.99,6.43,9.99
SORD00595099,1,1,43428,844 - T Pins Nickel 38mm Box of 227g,11.9,11.9,4.49,11.9
SORD00595099,1,1,RSL,Kickstool Blue Each,32,32,28.9,32
SORD00595099,5,1,404-208,882 - Single Metal Peg Hanger (price per box of 100),25,25,24.95,125
SORD00595099,2,1,105-010,882 - STD Polyprop . Tag Attach 15mm Box 5000,2.5,2.5,1.9,5
SORD00595099,2,1,104-708,882 - STD Attachment Needles MK1 Pack of 5,3.2,3.2,2.17,6.4
SORD00595099,2,1,105-048,882 - STD Polyprop Tag Attach 65mm Box of 5000,5,5,3.3,10
SORD00595099,2,1,105-503,882 - STD Hook Tagging Attach 40mm Box of 5000,7.5,7.5,6.42,15
SORD00595099,2,1,105-414,882 - Polyprop Loop Attach 125mm box of 5000,20,20,6.15,40
SORD00595099,100,1,1796-100,333 - Small - Pegbrd M/Duty 25mm Prong 100mm,36,36,0.3,3600
SORD00595099,100,1,1791-150,333 - Medium - Pegbrd M/Duty 25mm Prong 150mm,42,42,0.3,4200
SORD00595099,100,100,1791-250,333 - Large  - Pegbrd M/Duty 25mm Prong 230mm,52,52,41,5200
SORD00595099,1,1,MORKETTLE,858 - Kettle,10,10,7.89,10
SORD00595099,1,1,MORMICROWAVE,333 - Microwave Oven,52.99,52.99,47.81,52.99
SORD00595099,2,1,SLIP-NOT,882 - Slip - Nots  // 1000 per box,65,60,47.77,120
SORD00595099,2,1,URBANSALLAB,882 - Urban Sales Labels LCSALERED PK10'000,8.55,8.55,6.42,17.1
SORD00595099,5,1,URBANINKROLL,835 -Urban Ink Roller LCIR1,2,2,0.75,10
SORD00595099,6,1,URBANPGUN,882 - Urban Price Gun LC1/8,19.75,19.75,12,118.5
SORD00595099,1,1,P21,882 - Self Adhesive Euro Hook 500 per pad,22,17.8,17.54,17.8
SORD00595099,5,1,CLEARPINESACKS,858 - Clear Sacks (Pine) 18 x 29 x 39 -180g pk200,38.9,18.4,13.44,92
SORD00595099,6,1,532424,882 - Dinner Plate (Each),29.99,2.41,1.89,14.46
SORD00595099,1,1,532510,882 - Tea/Coffee Mug (Pack 6),7.91,7.91,7.86,7.91
SORD00595099,1,1,555598,882 - Dinner Bowl (Each),19.09,1.36,1.58,1.36
